PHÂN LOẠI VIDEO,THÔNG TIN TRÍCH XUẤT THEO LOẠI,THÔNG TIN CHUNG,row_index,THÔNG TIN TRÍCH XUẤT,phan_loai_video,thong_tin_theo_loai,thong_tin_chung,loại_video,thông_tin_loại,thông_tin_chung,thong_tin_video,REVIEW ĐỒ ĂN,NẤU ĂN,MUKBANG,KHÁC,thông_tin_chi_tiet,thong_tin_trich_xuat,thong_tin_review_do_an,thong_tin_loai,error,PHAN_LOAI_VIDEO,THONG_TIN_THEO_LOAI,THONG_TIN_CHUNG,THÔNG TIN BỔ SUNG,thong_tin_khac,video_type,category_info,general_info,PHÂN LOẠI VIDEO (dự phòng - nội dung chính khác với phân loại),THÔNG TIN TRÍCH XUẤT THEO LOẠI (dự phòng - nội dung chính khác với phân loại),THÔNG TIN KHÁC,loai_video,OUTPUT_FORMAT,Lý do phân loại Review đồ ăn,Lý do chọn 'ngoài đường' làm địa điểm,Lưu ý về 'tên_quán',review_info,nau_an_info,mukbang_info,khac_info,THONG_TIN_TRICH_XUAT,Phân loại video,Thông tin trích xuất,Thông tin chung,thông_tin_trích_xuất,message,extracted_info,common_info,phân_loại_video,thông_tin_theo_loại,phan_tich_them,thong_tin_nau_an,thong_tin_mukbang,thong_tin,LƯU Ý,thông_tin_chi_tiết,ghi_chu,1. PHÂN LOẠI VIDEO,2. THÔNG TIN TRÍCH XUẤT THEO LOẠI,3. THÔNG TIN CHUNG
,,,687,,,,,Khác,"{'chủ_đề': 'Giao dịch mua bán đồ ăn vặt tại quán', 'từ_khóa': ['quán ăn', 'mua đồ ăn', 'đồ ăn vặt', 'giao dịch', 'trứng vịt lộn'], 'tóm_tắt': 'Transcript ghi lại các đoạn hội thoại mua bán đồ ăn vặt giữa khách hàng và chủ quán. Khách hàng lần lượt gọi các món như trứng vịt lộn, mì, bò lá lốt, ốc và kem que.'}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'chủ_đề': 'tình yêu', 'từ_khóa': ['love', 'star', 'smile', 'laugh', 'pretty face'], 'tóm_tắt': 'Đoạn transcript thể hiện tình cảm yêu thương và ngưỡng mộ đối với một người đặc biệt, người mang lại niềm vui và động lực trong cuộc sống.'}",{},688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh mì thịt nướng'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': ['samchi (kiểu nướng)'], 'giờ_hoạt_động': [], 'số_người': []}",689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Bán hàng rong', 'từ_khóa': ['bán hàng rong', 'quầy hàng', 'buôn bán', 'trao đổi', 'Mané'], 'tóm_tắt': 'Đoạn transcript mô tả về một người bán hàng rong tên Mané, người có một quầy hàng lớn và bán 50 loại hàng hóa. Người nói cho biết họ thường xuyên trao đổi đồ với Mané.'}}",{},690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': ['hơi au trèn'], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",691,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lạp sườn nướng đá'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,693,,Review đồ ăn,,"{'gia_ca': ['1-5 đồng (xưa)'], 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': 2}",,,,,,,,,,"{'review_do_an': {'mon_chinh': ['kẹo bạch nha', 'món đặc sản Quảng Ngãi', 'món ăn tuổi thơ'], 'dia_diem': ['Quảng Ngãi (xuất xứ)', 'cổng trường (ký ức)'], 'danh_gia': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['cá vồ đém kho tộ', 'canh chua cá vồ đém'], 'món_phụ': ['ốc nướng lụi'], 'nguyên_liệu': ['cá vồ đém', 'rau muống rồng', 'tai tượng', 'ốc', 'cá trắng', 'tép', 'rau nhút'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'bún sườn sụn nấu lá quế', 'món_phụ': 'bún', 'nguyên_liệu': ['sườn sụn/sườn non', 'tỏi', 'ớt', 'muối', 'miến đậu xanh', 'đường', 'hạt nêm', 'nước mắm', 'lá húng quế', 'tiêu'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['kem ăn khô', 'món chuột', 'món đào baby'], 'địa_điểm': [], 'đánh_giá': 'tiêu cực'}}","{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",697,"{'Mukbang': {'món_chính': ['trứng hột vịt thúi', 'trứng thúi', 'trứng hột vịt chao'], 'số_người': None, 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,{},698,,,,,,,,,"{'món_chính': [], 'địa_điểm': [], 'đánh_giá': 'tích cực'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['tôm rang muối', 'cá kho'], 'món_phụ': ['cháo', 'chôm chôm'], 'nguyên_liệu': ['tôm', 'muối', 'sả', 'gừng', 'ớt', 'chôm chôm'], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'tôm 150 cành/ký, mua 2 ký', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 'gia đình (khoảng 3-4 người lớn và 1 trẻ em)'}",699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,700,,Review đồ ăn,"{'mon_chinh': ['thịt kho doulingo', 'cà phê laura'], 'dia_diem': [], 'danh_gia': {'thịt kho doulingo': 'tiêu cực', 'cà phê laura': 'tích cực'}}","{'gia_ca': [], 'ten_quan': [], 'gio_hoat_dong': [], 'so_nguoi': []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'MUKBANG': {'món_chính': ['mì cay'], 'số_người': None, 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,702,,Khác,,{},,,,,,,,,,"{'Khác': {'chu_de': 'Không xác định', 'tu_khoa': ['âm thanh', 'mở đầu', 'không nội dung'], 'tom_tat': ""Transcript rất ngắn, chỉ chứa âm thanh 'uh.' và không có nội dung liên quan đến ẩm thực.""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",703,"{'KHÁC': {'chủ_đề': 'Giới thiệu món bún bò', 'từ_khóa': ['bún bò', 'chanh', 'mốc banh', 'hôm nay'], 'tóm_tắt': 'Video ngắn giới thiệu việc chuẩn bị hoặc thưởng thức món bún bò với chanh.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh taco senbay', 'nước lựu trên dây'], 'địa_điểm': ['Quận 10', 'Phường 12', '268 Cao Thắng'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['bánh taco senbay: 30 cành/cái', 'nước lựu trên dây: 30 cành/ly'], 'tên_quán': 'Quán Bánh Taco Senbay (tên quán ngụ ý)', 'giờ_hoạt_động': '11:00 - 22:00', 'số_người': None}",704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Thanh xuân và tình yêu', 'từ_khóa': ['thanh xuân', 'tình yêu', 'đôi ta', 'ngày hôm qua', 'mơ'], 'tóm_tắt': 'Bài hát/đoạn thoại về mong muốn quay trở lại những ngày thanh xuân tươi đẹp bên người yêu, khi mọi thứ còn trong trẻo và không lo toan.'}}",{},705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,706,,Review đồ ăn,"{'mon_chinh': ['sầu riêng'], 'dia_diem': [], 'danh_gia': 'tiêu cực'}","{'gia_ca': [], 'ten_quan': [], 'gio_hoat_dong': [], 'so_nguoi': [2]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['gà rán', 'mỳ ý', 'bánh xoài đào'], 'địa_điểm': [], 'đánh_giá': ['tích cực', 'tiêu cực'], 'chi_tiết_đánh_giá': {'tích_cực': 'bánh xoài đào giòn lâu', 'tiêu_cực': 'cửa hàng cho hơi ít tương ớt'}}}","{'giá_cả': [], 'tên_quán': ['cửa hàng'], 'giờ_hoạt_động': [], 'số_người': []}",707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['sữa bắp', 'rau câu lá dứa'], 'món_phụ': [], 'nguyên_liệu': ['bắp', 'lá dứa', 'sữa tươi', 'sữa đặc', 'muối', 'đường', 'bột rau câu câu dẻo', 'nước'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 'gia đình'}",708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Bài hát về sự thư giãn, tìm kiếm bình yên và vượt qua khó khăn trong cuộc sống.', 'từ_khóa': ['yên bình', 'khó khăn', 'vui lên', 'đêm', 'đắm say'], 'tóm_tắt': 'Bài hát khuyến khích người nghe tạm gác lại những lo âu, tìm kiếm sự yên bình trong khoảnh khắc hiện tại và hướng tới ngày mai tươi sáng hơn.'}}",{},709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['phở tái sốt vang gầu', 'bắp sốt vang'], 'địa_điểm': ['Kim Mã', 'Hà Nội'], 'đánh_giá': 'tích cực'}}",{'tên_quán': 'Phở Lê'},710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,711,,Review đồ ăn,,"{'giá_cả': 'mễ sốt bò bằm: 45.000 VNĐ, giá cả phải chăng', 'tên_quán': 'Mễ Ý A Hoài', 'giờ_hoạt_động': 'Thứ 2 - Thứ 7: 8:00-14:00 & 16:00-22:00, Chủ Nhật: Nghỉ', 'số_người': None}",,,,,,,,,,"{'review_do_an': {'món_chính': ['mễ ý', 'pizza', 'burger', 'bò nấu vang', 'gà nấu đậu', 'mễ sốt bò bằm', 'nui đút lò phô mai', 'sa lát', 'séc gà nấu'], 'địa_điểm': 'Hẻm 55 Trần Đình Xu, Quận 1, TP.HCM', 'đánh_giá': 'tích cực'}, 'nau_an': None, 'mukbang': None, 'khac': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,712,,Nấu ăn,"{'nau_an': {'mon_chinh': 'mì trộn siêu cay', 'mon_phu': 'topping (không cụ thể)', 'nguyen_lieu': ['lòng đỏ trứng gà', 'mayonnaise', 'gói sốt mì', 'nước luộc mì', 'topping'], 'danh_gia': 'tích cực'}}","{'gia_ca': None, 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['xiên bẩn', 'kem chanh'], 'địa_điểm': [], 'đánh_giá': 'tiêu cực'}}","{'giá_cả': '2000 (cho xiên bẩn)', 'tên_quán': [], 'giờ_hoạt_động': 'tầm 5-6 giờ chiều', 'số_người': []}",713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tình yêu thương, lòng trắc ẩn, hối hận và sự thức tỉnh trong cuộc sống, bối cảnh quán ăn.', 'từ_khóa': ['tình yêu', 'hối tiếc', 'quán ăn', 'lòng trắc ẩn', 'thức tỉnh'], 'tóm_tắt': 'Video có vẻ kể một câu chuyện cảm xúc về tình yêu, lòng trắc ẩn và sự hối hận, diễn ra trong bối cảnh một quán ăn, với những yếu tố thức tỉnh và thay đổi nhận thức.'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['cua', 'ốc', 'tôm', 'ghẹ', 'sò điệp', 'hầu', 'nậm heo', 'lẩu thái', 'lẩu cá đuối'], 'địa_điểm': 'Vũng Tàu, ngã ba Quang Trung và Hoàng Diệu', 'đánh_giá': 'tích cực'}}","{'giá_cả': '229k/người', 'tên_quán': 'quán ruột (chi nhánh mới)', 'giờ_hoạt_động': None, 'số_người': '2+'}",715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,716,,Review đồ ăn,"{'review_do_an': {'mon_chinh': ['ốc (giống ốc hương)', 'hải sản'], 'dia_diem': ['chợ ở Nhật'], 'danh_gia': 'tích cực'}}","{'gia_ca': '60 cành/dĩa (có thể là 60.000 VND)', 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': '1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,717,,Review đồ ăn,,"{'gia_ca': '275 cành (5 ly), 50-65 cành/ly', 'ten_quan': 'Yousee Yousee (trà sữa)', 'gio_hoat_dong': 'không rõ', 'so_nguoi': '2'}",,,,,,,,,,"{'mon_chinh': ['trà sữa khoai môn taro miêu mochi', 'trà xanh yakult', 'trà dưa hấu trân châu giòn', 'hồng trà macchiato black tea macchiato', 'trà sữa'], 'dia_diem': 'không rõ', 'danh_gia': 'trung lập'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'chia tay', 'từ_khóa': ['chia tay', 'tình yêu', 'buồn', 'sầu', 'cô đơn'], 'tóm_tắt': 'Bài hát kể về một chàng trai bị người yêu chia tay trong một ngày đẹp trời, thể hiện sự buồn bã và cô đơn sau chia tay.'}}",{},718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'kho quẹt', 'món_phụ': ['cơm', 'cháo'], 'nguyên_liệu': ['tóp mỡ'], 'đánh_giá': 'tích cực'}}",{},719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,,{},720,"{'KHÁC': {'chủ_đề': 'Lỗi hài hước khi nấu cơm', 'từ_khóa': ['nồi cơm', 'thìa xới cơm', 'quên', 'cắm cơm', 'lỗi'], 'tóm_tắt': 'Người nói kể về việc em mình quên thìa xới cơm trong nồi cơm khi cắm cơm, nhưng nồi cơm vẫn chín. Câu chuyện mang tính hài hước về sự đãng trí khi nấu ăn.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'sườn chiên sa tế xả', 'món_phụ': [], 'nguyên_liệu': ['sườn non', 'sa tế tôm Chin Su', 'xả', 'tỏi', 'muối', 'bột bắp', 'dầu ăn'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '250000 VND/kg sườn', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Giới thiệu sản phẩm', 'từ_khóa': ['cà phê', 'Lora Coffee', 'tỉnh táo', 'sức khỏe', 'nấm linh chi', 'đông trùng hạ thảo'], 'tóm_tắt': 'Giới thiệu cà phê Lora Coffee giúp tỉnh táo, tốt cho sức khỏe với thành phần nấm linh chi và đông trùng hạ thảo.'}}","{'giá_cả': None, 'tên_quán': 'Lora Coffee', 'giờ_hoạt_động': None, 'số_người': None}",722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['tôm alaska'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': ['bình điền hunter'], 'giờ_hoạt_động': [], 'số_người': []}",723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['Taco tôm size lớn', 'Taco thịt bò', 'Taco khủng long (tôm, mực)', 'Taco bạch tuộc', 'Nước khủng long (chanh dây)'], 'địa_điểm': ""Việt Nam (không rõ địa điểm cụ thể, chỉ đề cập 'tại Việt Nam', 'ở Việt Nam')"", 'đánh_giá': 'tiêu cực'}}","{'giá_cả': {'Taco tôm size lớn': '60 cành', 'Taco thịt bò': '40 cành', 'Taco khủng long': '50 cành', 'Taco bạch tuộc': '40 cành', 'Nước khủng long': '50 cành', 'Tổng': '239 cành'}, 'tên_quán': 'Taco Senpai', 'giờ_hoạt_động': 'không rõ', 'số_người': '2 (người review và trợ lý)'}",724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['phở thìn', 'cốm', 'cà phê trứng', 'xôi cốm hạt sen dừa', 'cháo đậu cà', 'caramel hàng than', 'bỏ bía thanh kiều'], 'địa_điểm': ['hà nội', 'đường đinh tiên hoàng', 'phố đi bộ', 'nhà thờ lớn', 'giảng', 'hàng than', 'hồ tây'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['cốm: 25.000đ/lạng', 'bỏ bía: 15.000đ'], 'tên_quán': ['phở thìn', 'cà phê giảng', 'caramel hàng than'], 'giờ_hoạt_động': '5:00 sáng (bắt đầu ngày mới)', 'số_người': None}",725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': 'rau củ ở nhật đắt, thì là bốn năm chục cành', 'địa_điểm': 'Nhật Bản'}",726,"{'NẤU ĂN': {'món_chính': 'bún cá', 'món_phụ': [], 'nguyên_liệu': ['cá rô biển', 'thì là', 'cá tai nha', 'bưa'], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",727,"{'LOẠI': 'NẤU ĂN', 'nấu_ăn': {'món_chính': 'lòng sữa bò nướng', 'món_phụ': None, 'nguyên_liệu': ['lòng sữa bò'], 'đánh_giá': 'tiêu cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Vấn đề về da và thông báo ngừng mukbang', 'từ_khóa': ['mụn', 'da', 'mukbang', 'xấu xí', 'điều trị'], 'tóm_tắt': 'Người nói lo lắng về mụn trên mặt, mô tả tình trạng mụn và bày tỏ lo ngại về việc mụn có thể ảnh hưởng đến ngoại hình và quyết định ngừng làm mukbang. Họ cũng mong muốn nhận được lời khuyên từ cộng đồng về cách điều trị mụn.'}}",{},728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['thịt kho pikachu', 'cà phê laoura'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': {'xúc xích': '39.000', 'bắp': '5.000'}, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",730,"{'NẤU ĂN': {'món_chính': 'xúc xích xào bắp', 'món_phụ': 'cơm', 'nguyên_liệu': ['xúc xích', 'bắp', 'tỏi', 'trứng gà', 'hành lá', 'ngò', 'nước sốt (không rõ thành phần cụ thể)'], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'review trải nghiệm photo booth', 'từ_khóa': ['photo booth', 'chụp ảnh', 'phụ kiện', 'móc chìa khóa', 'không gian rộng'], 'tóm_tắt': 'Video review photo booth Photo Vivit, nổi bật không gian rộng rãi, nhiều phụ kiện, chất lượng ảnh tốt và làm móc chìa khóa.'}}","{'giá_cả': '70 xu', 'tên_quán': 'Photo Vivit', 'giờ_hoạt_động': None, 'số_người': '2 (Tú Anh và Thùy Dương)'}",731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Thèm đồ uống', 'từ_khóa': ['thèm', 'trân vi', 'nước', 'đồ uống'], 'tóm_tắt': ""Người nói bày tỏ sự thèm muốn món 'trân vi' và đề cập đến việc món đó có kèm theo nước uống.""}}",{},732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['gỏi cuốn', 'bún cuốn'], 'món_phụ': [], 'nguyên_liệu': ['mắm nêm', 'bánh tráng mè', 'tôm', 'thịt ba chỉ', 'thịt nạc vai', 'rau sống'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['bánh tôm bà lộc 80k', 'tự làm lời gấp 3'], 'tên_quán': ['hoàng bèo', 'dì cẩn', 'bánh tôm bà lộc'], 'giờ_hoạt_động': [], 'số_người': '3'}",733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'đậu hũ trứng bắc thảo', 'món_phụ': ['mỡ hành', 'chà bông'], 'nguyên_liệu': ['trứng gà', 'trứng bắc thảo', 'hạt nêm', 'bột năng', 'sữa đậu nành', 'mỡ hành', 'chà bông'], 'đánh_giá': 'tích cực'}}","{'giá_cả': {'trứng_vịt_lạt': '3000đ/cái (giá gốc), 2000đ/cái (giá giảm)', 'trứng_bắc_thảo_có_trấu': '6000đ/cái', 'trứng_bắc_thảo_không_trấu': '8000đ/cái'}, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 2}",734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,735,,Nấu ăn,"{'nau_an': {'mon_chinh': 'gà nướng', 'mon_phu': 'sốt chấm', 'nguyen_lieu': ['gà', 'sốt nướng mua sẵn', 'ớt', 'đường', 'nước chanh hoặc tắc', 'tiêu', 'sữa đặc', 'muối', 'bột ngọt'], 'danh_gia': 'tích cực'}}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['trà sữa', 'ái trà trà', 'trà xoài sữa phô mai'], 'địa_điểm': ['Quang Trung', 'Bà Triệu'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['52.000 - 55.000đ/cốc (trung bình)', '2000đ (giá ẩn dụ, giá trị nhận được lớn hơn nhiều so với giá mua trà sữa)', '1.300.000đ (giá trị son Dior)'], 'tên_quán': None, 'giờ_hoạt_động': 'Chương trình khuyến mãi từ 31/07 đến 04/08, khai trương cơ sở Bà Triệu 02/08', 'số_người': None}",736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'bún mọc dọc mùng chay', 'món_phụ': ['đậu phụ', 'giá đỗ'], 'nguyên_liệu': ['nấm hương', 'mộc nhĩ', 'giò sống chay', 'dọc mùng', 'ngô', 'cà chua', 'hạt nêm knorr nấm hương'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,738,,Review đồ ăn,"{'mon_chinh': ['xúc xích'], 'dia_diem': 'không rõ', 'danh_gia': 'tích cực'}","{'gia_ca': 'hơn 100.000 cho 2 kí xúc xích', 'ten_quan': 'không rõ', 'gio_hoat_dong': 'không rõ', 'so_nguoi': 'không rõ'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'hủ tiếu', 'món_phụ': None, 'nguyên_liệu': ['xương', 'tôm khô', 'khô mực', 'rễ ngò rí', 'tôm', 'rau'], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'tôm 130 cành/ký', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
